Entity,Code,Year,Share of the population who are Buddhists
Afghanistan,AFG,2010,0.01998632
Afghanistan,AFG,2020,0.020000853
Africa,OWID_AFR,2010,0.007441711
Africa,OWID_AFR,2020,0.0069819717
Albania,ALB,2010,0
Albania,ALB,2020,0.000158218
Algeria,DZA,2010,0.014109504
Algeria,DZA,2020,0.015000784
Angola,AGO,2010,0.00385205
Angola,AGO,2020,0.002393168
Argentina,ARG,2010,0.02914833
Argentina,ARG,2020,0.031062234
Armenia,ARM,2010,0.006788191
Armenia,ARM,2020,0.010692867
Aruba,ABW,2010,0.47836637
Aruba,ABW,2020,0.5441692
Asia,OWID_ASI,2010,7.9192686
Asia,OWID_ASI,2020,6.730119
Asia-Pacific (Pew),PEW_APA,2010,8.146677
Asia-Pacific (Pew),PEW_APA,2020,6.955449
Australia,AUS,2010,2.7270718
Australia,AUS,2020,2.6115515
Austria,AUT,2010,0.22099462
Austria,AUT,2020,0.29699627
Azerbaijan,AZE,2010,0.002489931
Azerbaijan,AZE,2020,0.002041818
Bahamas,BHS,2010,0
Bahamas,BHS,2020,0
Bahrain,BHR,2010,0.1828378
Bahrain,BHR,2020,0.15959714
Bangladesh,BGD,2010,0.6215775
Bangladesh,BGD,2020,0.61018306
Barbados,BRB,2010,0.1019253
Barbados,BRB,2020,0.10687833
Belarus,BLR,2010,0.03816501
Belarus,BLR,2020,0.03782539
Belgium,BEL,2010,0.14475167
Belgium,BEL,2020,0.1784153
Belize,BLZ,2010,0.25641423
Belize,BLZ,2020,0.25308877
Benin,BEN,2010,0.009401094
Benin,BEN,2020,0.008225815
Bhutan,BTN,2010,74.70138
Bhutan,BTN,2020,74.73525
Bolivia,BOL,2010,0.017019995
Bolivia,BOL,2020,0.01885028
Bosnia and Herzegovina,BIH,2010,0.00236153
Bosnia and Herzegovina,BIH,2020,0.002712135
Botswana,BWA,2010,0.24802342
Botswana,BWA,2020,0.22821616
Brazil,BRA,2010,0.12678048
Brazil,BRA,2020,0.10313736
Brunei,BRN,2010,7.8363504
Brunei,BRN,2020,6.2967753
Bulgaria,BGR,2010,0.019819338
Bulgaria,BGR,2020,0.02646611
Burkina Faso,BFA,2010,0.001551172
Burkina Faso,BFA,2020,0.001254494
Burundi,BDI,2010,0.00010957
Burundi,BDI,2020,0.000163663
Cambodia,KHM,2010,96.92893
Cambodia,KHM,2020,97.09086
Cameroon,CMR,2010,0.001808902
Cameroon,CMR,2020,0.00181991
Canada,CAN,2010,1.1058371
Canada,CAN,2020,1.737348
Cape Verde,CPV,2010,0.00575581
Cape Verde,CPV,2020,0.005148977
Central African Republic,CAF,2010,0.002145892
Central African Republic,CAF,2020,0.001871601
Chad,TCD,2010,0.011265496
Chad,TCD,2020,0.010874331
Channel Islands,OWID_CIS,2010,0.003458555
Channel Islands,OWID_CIS,2020,0.003512441
Chile,CHL,2010,0.016725965
Chile,CHL,2020,0.038323306
China,CHN,2010,5.630385
China,CHN,2020,3.7429757
Colombia,COL,2010,0.003614772
Colombia,COL,2020,0.009221531
Comoros,COM,2010,0
Comoros,COM,2020,0
Congo,COG,2010,0.003943321
Congo,COG,2020,0.003945863
Costa Rica,CRI,2010,0.044134337
Costa Rica,CRI,2020,0.048993725
Cote d'Ivoire,CIV,2010,0
Cote d'Ivoire,CIV,2020,0
Croatia,HRV,2010,0.02223521
Croatia,HRV,2020,0.022288118
Cuba,CUB,2010,0.049995
Cuba,CUB,2020,0.049995
Curacao,CUW,2010,0.31371662
Curacao,CUW,2020,0.34867412
Cyprus,CYP,2010,0.63734555
Cyprus,CYP,2020,0.5575591
Czechia,CZE,2010,0.105826624
Czechia,CZE,2020,0.068411015
Democratic Republic of Congo,COD,2010,0.000213107
Democratic Republic of Congo,COD,2020,0.000153266
Denmark,DNK,2010,0.49856788
Denmark,DNK,2020,0.6564796
Djibouti,DJI,2010,0
Djibouti,DJI,2020,0
Dominican Republic,DOM,2010,0.034063864
Dominican Republic,DOM,2020,0.042546757
East Timor,TLS,2010,0.036748275
East Timor,TLS,2020,0.03031283
Ecuador,ECU,2010,0.017078524
Ecuador,ECU,2020,0.022002894
Egypt,EGY,2010,0.0000209523
Egypt,EGY,2020,0.0000540333
El Salvador,SLV,2010,0.006542325
El Salvador,SLV,2020,0.006674367
Equatorial Guinea,GNQ,2010,0.002740916
Equatorial Guinea,GNQ,2020,0.04323177
Eritrea,ERI,2010,0.000953069
Eritrea,ERI,2020,0.000843676
Estonia,EST,2010,0.12559561
Estonia,EST,2020,0.1961462
Eswatini,SWZ,2010,0.023638083
Eswatini,SWZ,2020,0.022890331
Ethiopia,ETH,2010,0.00117228
Ethiopia,ETH,2020,0.001163285
Europe,OWID_EUR,2010,0.27304074
Europe,OWID_EUR,2020,0.3391389
Europe (Pew),PEW_EUR,2010,0.2712456
Europe (Pew),PEW_EUR,2020,0.33728257
Fiji,FJI,2010,0.061866865
Fiji,FJI,2020,0.06410103
Finland,FIN,2010,0.16879702
Finland,FIN,2020,0.31453785
France,FRA,2010,0.51791173
France,FRA,2020,0.7130014
French Guiana,GUF,2010,0.5996844
French Guiana,GUF,2020,0.6014376
French Polynesia,PYF,2010,0.09232972
French Polynesia,PYF,2020,0.09361809
Gabon,GAB,2010,0
Gabon,GAB,2020,0
Gambia,GMB,2010,0
Gambia,GMB,2020,0
Georgia,GEO,2010,0.011128976
Georgia,GEO,2020,0.011647883
Germany,DEU,2010,0.32204387
Germany,DEU,2020,0.34375194
Ghana,GHA,2010,0
Ghana,GHA,2020,0
Greece,GRC,2010,0.018624619
Greece,GRC,2020,0.024676016
Grenada,GRD,2010,0
Grenada,GRD,2020,0
Guadeloupe,GLP,2010,0.21336165
Guadeloupe,GLP,2020,0.20725808
Guam,GUM,2010,1.0622619
Guam,GUM,2020,1.0504613
Guatemala,GTM,2010,0.005088316
Guatemala,GTM,2020,0.005471494
Guinea,GIN,2010,0.090003364
Guinea,GIN,2020,0.08595887
Guinea-Bissau,GNB,2010,0
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2010,0.026740417
Guyana,GUY,2020,0.03135968
Haiti,HTI,2010,0.003352677
Haiti,HTI,2020,0.003183924
Honduras,HND,2010,0.1296447
Honduras,HND,2020,0.005433836
Hong Kong,HKG,2010,11.862377
Hong Kong,HKG,2020,8.411983
Hungary,HUN,2010,0.124192946
Hungary,HUN,2020,0.19222227
Iceland,ISL,2010,0.42160276
Iceland,ISL,2020,1.3399417
India,IND,2010,0.69895923
India,IND,2020,0.6806626
Indonesia,IDN,2010,0.72118306
Indonesia,IDN,2020,0.6775277
Iran,IRN,2010,0
Iran,IRN,2020,0.0000187587
Iraq,IRQ,2010,0
Iraq,IRQ,2020,0
Ireland,IRL,2010,0.19267985
Ireland,IRL,2020,0.19380386
Israel,ISR,2010,0.051385254
Israel,ISR,2020,0.04283918
Italy,ITA,2010,0.41805926
Italy,ITA,2020,0.6135678
Jamaica,JAM,2010,0
Jamaica,JAM,2020,0.001242755
Japan,JPN,2010,41.797905
Japan,JPN,2020,37.20561
Jordan,JOR,2010,0.028421966
Jordan,JOR,2020,0.018849416
Kazakhstan,KAZ,2010,0.094393596
Kazakhstan,KAZ,2020,0.09109044
Kenya,KEN,2010,0.00072258
Kenya,KEN,2020,0.000961802
Kiribati,KIR,2010,0
Kiribati,KIR,2020,0
Kosovo,OWID_KOS,2010,0
Kosovo,OWID_KOS,2020,0
Kuwait,KWT,2010,0.108175986
Kuwait,KWT,2020,0.1214555
Kyrgyzstan,KGZ,2010,0.10297925
Kyrgyzstan,KGZ,2020,0.032685466
Laos,LAO,2010,63.978752
Laos,LAO,2020,64.162964
Latin America-Caribbean (Pew),PEW_LAC,2010,0.057280544
Latin America-Caribbean (Pew),PEW_LAC,2020,0.050572522
Latvia,LVA,2010,0.072804086
Latvia,LVA,2020,0.069054514
Lebanon,LBN,2010,0.006905802
Lebanon,LBN,2020,0.00663968
Lesotho,LSO,2010,0
Lesotho,LSO,2020,0.0000226578
Liberia,LBR,2010,0
Liberia,LBR,2020,0
Libya,LBY,2010,0.28085777
Libya,LBY,2020,0.25800115
Lithuania,LTU,2010,0.02421139
Lithuania,LTU,2020,0.025529502
Luxembourg,LUX,2010,0.12818755
Luxembourg,LUX,2020,0.47947702
Macao,MAC,2010,19.578993
Macao,MAC,2020,19.554543
Madagascar,MDG,2010,0.029911114
Madagascar,MDG,2020,0.027457755
Malawi,MWI,2010,0.002717683
Malawi,MWI,2020,0.001548222
Malaysia,MYS,2010,19.81785
Malaysia,MYS,2020,18.875608
Maldives,MDV,2010,1.3468734
Maldives,MDV,2020,1.3230373
Mali,MLI,2010,0
Mali,MLI,2020,0
Malta,MLT,2010,0.07880503
Malta,MLT,2020,0.6069073
Martinique,MTQ,2010,0.03891645
Martinique,MTQ,2020,0.039971754
Mauritania,MRT,2010,0
Mauritania,MRT,2020,0
Mauritius,MUS,2010,0.3983741
Mauritius,MUS,2020,0.39509785
Mayotte,MYT,2010,0
Mayotte,MYT,2020,0
Mexico,MEX,2010,0.012810351
Mexico,MEX,2020,0.018263193
Micronesia (country),FSM,2010,0.08365284
Micronesia (country),FSM,2020,0.08365284
Middle East-North Africa (Pew),PEW_MENA,2010,0.018161742
Middle East-North Africa (Pew),PEW_MENA,2020,0.020175267
Moldova,MDA,2010,0.003534351
Moldova,MDA,2020,0.003565817
Mongolia,MNG,2010,53.884396
Mongolia,MNG,2020,51.135098
Montenegro,MNE,2010,0
Montenegro,MNE,2020,0
Morocco,MAR,2010,0
Morocco,MAR,2020,0
Mozambique,MOZ,2010,0.002080288
Mozambique,MOZ,2020,0.001603683
Myanmar,MMR,2010,87.62619
Myanmar,MMR,2020,89.0511
Namibia,NAM,2010,0.033344917
Namibia,NAM,2020,0.028122637
Nepal,NPL,2010,9.038227
Nepal,NPL,2020,8.208739
Netherlands,NLD,2010,0.23689783
Netherlands,NLD,2020,0.29878932
New Caledonia,NCL,2010,0.6263071
New Caledonia,NCL,2020,0.62488836
New Zealand,NZL,2010,1.5150107
New Zealand,NZL,2020,1.1925081
Nicaragua,NIC,2010,0.00426932
Nicaragua,NIC,2020,0.004292547
Niger,NER,2010,0
Niger,NER,2020,0
Nigeria,NGA,2010,0.0006213
Nigeria,NGA,2020,0.000480014
North America,OWID_NAM,2010,0.7391921
North America,OWID_NAM,2020,0.85329247
North America (Pew),PEW_NAM,2010,1.1475023
North America (Pew),PEW_NAM,2020,1.3367914
North Korea,PRK,2010,1.5169418
North Korea,PRK,2020,1.5168726
North Macedonia,MKD,2010,0.011462259
North Macedonia,MKD,2020,0.011368634
Norway,NOR,2010,0.5317255
Norway,NOR,2020,0.6877529
Oceania,OWID_OCE,2010,1.8154303
Oceania,OWID_OCE,2020,1.6792053
Oman,OMN,2010,0.060792953
Oman,OMN,2020,0.112074755
Pakistan,PAK,2010,0.010586156
Pakistan,PAK,2020,0.010499283
Palestine,PSE,2010,0
Palestine,PSE,2020,0
Panama,PAN,2010,0.1403423
Panama,PAN,2020,0.17138614
Papua New Guinea,PNG,2010,0.00356047
Papua New Guinea,PNG,2020,0.002769333
Paraguay,PRY,2010,0.026002787
Paraguay,PRY,2020,0.022663077
Peru,PER,2010,0.010810969
Peru,PER,2020,0.03194739
Philippines,PHL,2010,0.03652632
Philippines,PHL,2020,0.036360435
Poland,POL,2010,0.013714613
Poland,POL,2020,0.010713195
Portugal,PRT,2010,0.17566392
Portugal,PRT,2020,0.19921122
Puerto Rico,PRI,2010,0.25792372
Puerto Rico,PRI,2020,0.2200782
Qatar,QAT,2010,0.16877745
Qatar,QAT,2020,0.21844786
Reunion,REU,2010,0.18915795
Reunion,REU,2020,0.18563443
Romania,ROU,2010,0.007130489
Romania,ROU,2020,0.029729392
Russia,RUS,2010,0.36389223
Russia,RUS,2020,0.35243994
Rwanda,RWA,2010,0
Rwanda,RWA,2020,0
Saint Lucia,LCA,2010,0
Saint Lucia,LCA,2020,0
Saint Vincent and the Grenadines,VCT,2010,0
Saint Vincent and the Grenadines,VCT,2020,0
Samoa,WSM,2010,0.056505445
Samoa,WSM,2020,0.037221506
Sao Tome and Principe,STP,2010,0
Sao Tome and Principe,STP,2020,0
Saudi Arabia,SAU,2010,0.056653894
Saudi Arabia,SAU,2020,0.07348647
Senegal,SEN,2010,0.000319231
Senegal,SEN,2020,0.000304208
Serbia,SRB,2010,0.014110733
Serbia,SRB,2020,0.014541986
Seychelles,SYC,2010,0.7575061
Seychelles,SYC,2020,0.7580783
Sierra Leone,SLE,2010,0
Sierra Leone,SLE,2020,0
Singapore,SGP,2010,33.014217
Singapore,SGP,2020,30.80149
Slovakia,SVK,2010,0.05264083
Slovakia,SVK,2020,0.1227305
Slovenia,SVN,2010,0.022663288
Slovenia,SVN,2020,0.038389336
Solomon Islands,SLB,2010,0.31998006
Solomon Islands,SLB,2020,0.3398749
Somalia,SOM,2010,0
Somalia,SOM,2020,0
South Africa,ZAF,2010,0.023915533
South Africa,ZAF,2020,0.035529964
South America,OWID_SAM,2010,0.07185723
South America,OWID_SAM,2020,0.06330723
South Korea,KOR,2010,25.57152
South Korea,KOR,2020,19.000572
South Sudan,SSD,2010,0.002269053
South Sudan,SSD,2020,0.002269128
Spain,ESP,2010,0.009717961
Spain,ESP,2020,0.01773273
Sri Lanka,LKA,2010,70.101845
Sri Lanka,LKA,2020,69.599945
Sub-Saharan Africa (Pew),PEW_SSA,2010,0.006547061
Sub-Saharan Africa (Pew),PEW_SSA,2020,0.006358556
Sudan,SDN,2010,0
Sudan,SDN,2020,0
Suriname,SUR,2010,0.35342807
Suriname,SUR,2020,0.38381392
Sweden,SWE,2010,0.6057743
Sweden,SWE,2020,0.8396717
Switzerland,CHE,2010,0.54677165
Switzerland,CHE,2020,0.61909187
Syria,SYR,2010,0
Syria,SYR,2020,0
Taiwan,TWN,2010,20.872694
Taiwan,TWN,2020,19.188751
Tajikistan,TJK,2010,0.005379321
Tajikistan,TJK,2020,0.004191463
Tanzania,TZA,2010,0.000310349
Tanzania,TZA,2020,0.000178269
Thailand,THA,2010,93.447784
Thailand,THA,2020,94.392456
Togo,TGO,2010,0.001825969
Togo,TGO,2020,0.001539814
Tonga,TON,2010,0.17813595
Tonga,TON,2020,0.058603145
Trinidad and Tobago,TTO,2010,0.03229511
Trinidad and Tobago,TTO,2020,0.029391387
Tunisia,TUN,2010,0
Tunisia,TUN,2020,0
Turkey,TUR,2010,0.042002544
Turkey,TUR,2020,0.052905586
Turkmenistan,TKM,2010,0.01137474
Turkmenistan,TKM,2020,0.006719529
Uganda,UGA,2010,0.000618396
Uganda,UGA,2020,0.000800483
Ukraine,UKR,2010,0.1003009
Ukraine,UKR,2020,0.33441824
United Arab Emirates,ARE,2010,0.15363538
United Arab Emirates,ARE,2020,0.16714233
United Kingdom,GBR,2010,0.44934526
United Kingdom,GBR,2020,0.45710918
United States,USA,2010,1.1520829
United States,USA,2020,1.291746
United States Virgin Islands,VIR,2010,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2010,0
Uruguay,URY,2020,0
Uzbekistan,UZB,2010,0.06714629
Uzbekistan,UZB,2020,0.014764371
Vanuatu,VUT,2010,0.020370498
