Entity,Code,Year,Share of the population who are Christians
Afghanistan,AFG,2010,0.10022439
Afghanistan,AFG,2020,0.019379199
Africa,OWID_AFR,2010,50.063267
Africa,OWID_AFR,2020,50.95458
Albania,ALB,2010,20.28347
Albania,ALB,2020,17.815659
Algeria,DZA,2010,0.2906793
Algeria,DZA,2020,0.29498956
Angola,AGO,2010,91.57468
Angola,AGO,2020,93.04471
Argentina,ARG,2010,88.07093
Argentina,ARG,2020,88.45394
Armenia,ARM,2010,97.53247
Armenia,ARM,2020,97.31269
Aruba,ABW,2010,82.22213
Aruba,ABW,2020,81.42007
Asia,OWID_ASI,2010,5.567058
Asia,OWID_ASI,2020,5.37461
Asia-Pacific (Pew),PEW_APA,2010,6.138703
Asia-Pacific (Pew),PEW_APA,2020,5.9153156
Australia,AUS,2010,67.118286
Australia,AUS,2020,46.750423
Austria,AUT,2010,80.43659
Austria,AUT,2020,68.1907
Azerbaijan,AZE,2010,1.6387202
Azerbaijan,AZE,2020,0.4196731
Bahamas,BHS,2010,97.49794
Bahamas,BHS,2020,97.5894
Bahrain,BHR,2010,15.718696
Bahrain,BHR,2020,13.67351
Bangladesh,BGD,2010,0.3043798
Bangladesh,BGD,2020,0.30009001
Barbados,BRB,2010,76.59418
Barbados,BRB,2020,77.34907
Belarus,BLR,2010,93.84196
Belarus,BLR,2020,85.13064
Belgium,BEL,2010,61.1096
Belgium,BEL,2020,50.971504
Belize,BLZ,2010,74.03389
Belize,BLZ,2020,74.36605
Benin,BEN,2010,58.326916
Benin,BEN,2020,53.23116
Bhutan,BTN,2010,0.5481391
Bhutan,BTN,2020,0.55020624
Bolivia,BOL,2010,95.70631
Bolivia,BOL,2020,88.9256
Bosnia and Herzegovina,BIH,2010,46.453857
Bosnia and Herzegovina,BIH,2020,44.677944
Botswana,BWA,2010,80.46395
Botswana,BWA,2020,82.29059
Brazil,BRA,2010,89.158264
Brazil,BRA,2020,80.65507
Brunei,BRN,2010,8.684497
Brunei,BRN,2020,6.693442
Bulgaria,BGR,2010,81.397606
Bulgaria,BGR,2020,79.49708
Burkina Faso,BFA,2010,26.581064
Burkina Faso,BFA,2020,28.004366
Burundi,BDI,2010,95.405525
Burundi,BDI,2020,94.98028
Cambodia,KHM,2010,0.37198132
Cambodia,KHM,2020,0.31641948
Cameroon,CMR,2010,71.66582
Cameroon,CMR,2020,69.83394
Canada,CAN,2010,67.24938
Canada,CAN,2020,53.321125
Cape Verde,CPV,2010,85.70175
Cape Verde,CPV,2020,78.29805
Central African Republic,CAF,2010,89.76293
Central African Republic,CAF,2020,90.67516
Chad,TCD,2010,39.548363
Chad,TCD,2020,38.894054
Channel Islands,OWID_CIS,2010,85.370674
Channel Islands,OWID_CIS,2020,85.2033
Chile,CHL,2010,86.02832
Chile,CHL,2020,68.32602
China,CHN,2010,2.3081434
China,CHN,2020,1.7847568
Colombia,COL,2010,92.42011
Colombia,COL,2020,86.24696
Comoros,COM,2010,0.30425164
Comoros,COM,2020,0.51
Congo,COG,2010,91.80778
Congo,COG,2020,92.22654
Costa Rica,CRI,2010,91.23591
Costa Rica,CRI,2020,87.85918
Cote d'Ivoire,CIV,2010,40.799046
Cote d'Ivoire,CIV,2020,44.914967
Croatia,HRV,2010,93.65238
Croatia,HRV,2020,90.85783
Cuba,CUB,2010,58.79412
Cuba,CUB,2020,60.653934
Curacao,CUW,2010,90.65574
Curacao,CUW,2020,90.61947
Cyprus,CYP,2010,65.53677
Cyprus,CYP,2020,67.74878
Czechia,CZE,2010,30.028788
Czechia,CZE,2020,26.412758
Democratic Republic of Congo,COD,2010,96.49722
Democratic Republic of Congo,COD,2020,96.26151
Denmark,DNK,2010,80.16723
Denmark,DNK,2020,76.906235
Djibouti,DJI,2010,1.3455226
Djibouti,DJI,2020,1.100099
Dominican Republic,DOM,2010,84.92118
Dominican Republic,DOM,2020,77.63658
East Timor,TLS,2010,99.41512
East Timor,TLS,2020,99.535324
Ecuador,ECU,2010,95.56451
Ecuador,ECU,2020,88.52362
Egypt,EGY,2010,5.0845184
Egypt,EGY,2020,4.821416
El Salvador,SLV,2010,88.342804
El Salvador,SLV,2020,87.10838
Equatorial Guinea,GNQ,2010,88.68036
Equatorial Guinea,GNQ,2020,88.68037
Eritrea,ERI,2010,47.070545
Eritrea,ERI,2020,46.671173
Estonia,EST,2010,61.18571
Estonia,EST,2020,52.61386
Eswatini,SWZ,2010,93.131485
Eswatini,SWZ,2020,93.22843
Ethiopia,ETH,2010,62.553898
Ethiopia,ETH,2020,61.578274
Europe,OWID_EUR,2010,74.50165
Europe,OWID_EUR,2020,66.92897
Europe (Pew),PEW_EUR,2010,74.64392
Europe (Pew),PEW_EUR,2020,67.08729
Fiji,FJI,2010,65.53062
Fiji,FJI,2020,69.51997
Finland,FIN,2010,81.82422
Finland,FIN,2020,72.28497
France,FRA,2010,57.096737
France,FRA,2020,46.467613
French Guiana,GUF,2010,84.53321
French Guiana,GUF,2020,84.19791
French Polynesia,PYF,2010,93.53176
French Polynesia,PYF,2020,93.4461
Gabon,GAB,2010,86.036095
Gabon,GAB,2020,83.74292
Gambia,GMB,2010,3.4565876
Gambia,GMB,2020,2.8933675
Georgia,GEO,2010,88.57878
Georgia,GEO,2020,88.17262
Germany,DEU,2010,62.2303
Germany,DEU,2020,56.23488
Ghana,GHA,2010,71.08795
Ghana,GHA,2020,71.2879
Greece,GRC,2010,91.24494
Greece,GRC,2020,89.476364
Grenada,GRD,2010,87.474434
Grenada,GRD,2020,87.474434
Guadeloupe,GLP,2010,95.815315
Guadeloupe,GLP,2020,95.86735
Guam,GUM,2010,94.15638
Guam,GUM,2020,94.01658
Guatemala,GTM,2010,92.9916
Guatemala,GTM,2020,91.950264
Guinea,GIN,2010,8.469569
Guinea,GIN,2020,11.7080765
Guinea-Bissau,GNB,2010,26.19481
Guinea-Bissau,GNB,2020,21.71778
Guyana,GUY,2010,63.89892
Guyana,GUY,2020,65.87551
Haiti,HTI,2010,91.05142
Haiti,HTI,2020,88.71866
Honduras,HND,2010,90.11083
Honduras,HND,2020,88.47241
Hong Kong,HKG,2010,18.57129
Hong Kong,HKG,2020,18.74611
Hungary,HUN,2010,72.55506
Hungary,HUN,2020,72.36884
Iceland,ISL,2010,81.28427
Iceland,ISL,2020,74.91874
India,IND,2010,2.3098202
India,IND,2020,2.21462
Indonesia,IDN,2010,9.876196
Indonesia,IDN,2020,10.262307
Iran,IRN,2010,0.15718226
Iran,IRN,2020,0.14260982
Iraq,IRQ,2010,0.6366729
Iraq,IRQ,2020,0.3749807
Ireland,IRL,2010,91.86814
Ireland,IRL,2020,81.21602
Israel,ISR,2010,1.9643615
Israel,ISR,2020,1.8792765
Italy,ITA,2010,88.49567
Italy,ITA,2020,80.471794
Jamaica,JAM,2010,70.44304
Jamaica,JAM,2020,68.61233
Japan,JPN,2010,2.208921
Japan,JPN,2020,2.2496302
Jordan,JOR,2010,3.353866
Jordan,JOR,2020,2.8091633
Kazakhstan,KAZ,2010,27.322842
Kazakhstan,KAZ,2020,19.291857
Kenya,KEN,2010,83.121315
Kenya,KEN,2020,85.67029
Kiribati,KIR,2010,97.31696
Kiribati,KIR,2020,97.5701
Kosovo,OWID_KOS,2010,6.0898457
Kosovo,OWID_KOS,2020,5.5983253
Kuwait,KWT,2010,9.403462
Kuwait,KWT,2020,10.53037
Kyrgyzstan,KGZ,2010,7.7220263
Kyrgyzstan,KGZ,2020,5.753357
Laos,LAO,2010,0.6958295
Laos,LAO,2020,1.5394446
Latin America-Caribbean (Pew),PEW_LAC,2010,90.10194
Latin America-Caribbean (Pew),PEW_LAC,2020,84.63141
Latvia,LVA,2010,82.8864
Latvia,LVA,2020,77.2676
Lebanon,LBN,2010,33.838722
Lebanon,LBN,2020,27.906147
Lesotho,LSO,2010,97.323135
Lesotho,LSO,2020,97.32347
Liberia,LBR,2010,85.74406
Liberia,LBR,2020,85.16896
Libya,LBY,2010,2.6324744
Libya,LBY,2020,0.52461785
Lithuania,LTU,2010,92.48455
Lithuania,LTU,2020,92.15047
Luxembourg,LUX,2010,74.39081
Luxembourg,LUX,2020,65.88789
Macao,MAC,2010,10.130424
Macao,MAC,2020,10.117773
Madagascar,MDG,2010,69.96261
Madagascar,MDG,2020,74.20538
Malawi,MWI,2010,86.94096
Malawi,MWI,2020,87.36236
Malaysia,MYS,2010,9.249742
Malaysia,MYS,2020,9.153185
Maldives,MDV,2010,1.6069833
Maldives,MDV,2020,1.646034
Mali,MLI,2010,3.4705908
Mali,MLI,2020,2.5717525
Malta,MLT,2010,97.05688
Malta,MLT,2020,88.59968
Martinique,MTQ,2010,96.40354
Martinique,MTQ,2020,96.0404
Mauritania,MRT,2010,0.27142122
Mauritania,MRT,2020,0.23378053
Mauritius,MUS,2010,32.76852
Mauritius,MUS,2020,32.85669
Mayotte,MYT,2010,0.66166466
Mayotte,MYT,2020,0.5216027
Mexico,MEX,2010,95.018
Mexico,MEX,2020,89.17308
Micronesia (country),FSM,2010,98.787056
Micronesia (country),FSM,2020,98.80326
Middle East-North Africa (Pew),PEW_MENA,2010,3.318749
Middle East-North Africa (Pew),PEW_MENA,2020,2.9381886
Moldova,MDA,2010,97.87239
Moldova,MDA,2020,99.53435
Mongolia,MNG,2010,2.1479096
Mongolia,MNG,2020,1.3424848
Montenegro,MNE,2010,77.536476
Montenegro,MNE,2020,76.04616
Morocco,MAR,2010,0.09684824
Morocco,MAR,2020,0.0854769
Mozambique,MOZ,2010,56.335915
Mozambique,MOZ,2020,61.33995
Myanmar,MMR,2010,6.205629
Myanmar,MMR,2020,6.1357307
Namibia,NAM,2010,96.14958
Namibia,NAM,2020,90.53588
Nepal,NPL,2010,1.4059962
Nepal,NPL,2020,1.7583549
Netherlands,NLD,2010,42.727364
Netherlands,NLD,2020,35.103058
New Caledonia,NCL,2010,85.622154
New Caledonia,NCL,2020,85.10286
New Zealand,NZL,2010,49.113953
New Zealand,NZL,2020,40.323315
Nicaragua,NIC,2010,86.92044
Nicaragua,NIC,2020,84.80611
Niger,NER,2010,1.1134118
Niger,NER,2020,0.5562363
Nigeria,NGA,2010,44.393265
Nigeria,NGA,2020,43.351376
North America,OWID_NAM,2010,81.99708
North America,OWID_NAM,2020,71.61825
North America (Pew),PEW_NAM,2010,77.18649
North America (Pew),PEW_NAM,2020,62.929474
North Korea,PRK,2010,0.39805782
North Korea,PRK,2020,0.38403407
North Macedonia,MKD,2010,65.189445
North Macedonia,MKD,2020,64.68532
Norway,NOR,2010,78.81321
Norway,NOR,2020,71.42244
Oceania,OWID_OCE,2010,72.57147
Oceania,OWID_OCE,2020,60.339584
Oman,OMN,2010,4.374837
Oman,OMN,2020,8.0710335
Pakistan,PAK,2010,1.4840673
Pakistan,PAK,2020,1.271848
Palestine,PSE,2010,1.1790886
Palestine,PSE,2020,1.0045189
Panama,PAN,2010,93.11482
Panama,PAN,2020,91.157906
Papua New Guinea,PNG,2010,99.52021
Papua New Guinea,PNG,2020,99.08984
Paraguay,PRY,2010,96.75906
Paraguay,PRY,2020,93.527756
Peru,PER,2010,93.94261
Peru,PER,2020,94.492
Philippines,PHL,2010,91.77425
Philippines,PHL,2020,91.461205
Poland,POL,2010,97.26748
Poland,POL,2020,91.188416
Portugal,PRT,2010,91.76418
Portugal,PRT,2020,85.07437
Puerto Rico,PRI,2010,88.94356
Puerto Rico,PRI,2020,88.83819
Qatar,QAT,2010,13.352153
Qatar,QAT,2020,12.548363
Reunion,REU,2010,87.364944
Reunion,REU,2020,87.53289
Romania,ROU,2010,99.27076
Romania,ROU,2020,98.542
Russia,RUS,2010,77.08774
Russia,RUS,2020,69.92579
Rwanda,RWA,2010,96.87323
Rwanda,RWA,2020,97.0336
Saint Lucia,LCA,2010,91.521194
Saint Lucia,LCA,2020,91.7337
Saint Vincent and the Grenadines,VCT,2010,86.30342
Saint Vincent and the Grenadines,VCT,2020,86.314125
Samoa,WSM,2010,98.61065
Samoa,WSM,2020,97.63423
Sao Tome and Principe,STP,2010,82.29602
Sao Tome and Principe,STP,2020,84.435905
Saudi Arabia,SAU,2010,3.353215
Saudi Arabia,SAU,2020,4.377708
Senegal,SEN,2010,3.408409
Senegal,SEN,2020,2.4033866
Serbia,SRB,2010,95.48234
Serbia,SRB,2020,91.53551
Seychelles,SYC,2010,94.047295
Seychelles,SYC,2020,93.95184
Sierra Leone,SLE,2010,18.127554
Sierra Leone,SLE,2020,19.829313
Singapore,SGP,2010,18.269638
Singapore,SGP,2020,18.758917
Slovakia,SVK,2010,75.06378
Slovakia,SVK,2020,73.7453
Slovenia,SVN,2010,72.39396
Slovenia,SVN,2020,65.415436
Solomon Islands,SLB,2010,95.28967
Solomon Islands,SLB,2020,95.02238
Somalia,SOM,2010,0.038002685
Somalia,SOM,2020,0.026225021
South Africa,ZAF,2010,84.33209
South Africa,ZAF,2020,85.25712
South America,OWID_SAM,2010,89.83581
South America,OWID_SAM,2020,83.54786
South Korea,KOR,2010,32.13106
South Korea,KOR,2020,31.985544
South Sudan,SSD,2010,58.69257
South Sudan,SSD,2020,60.501644
Spain,ESP,2010,78.6465
Spain,ESP,2020,69.456764
Sri Lanka,LKA,2010,7.622634
Sri Lanka,LKA,2020,5.5903573
Sub-Saharan Africa (Pew),PEW_SSA,2010,61.728928
Sub-Saharan Africa (Pew),PEW_SSA,2020,62.019115
Sudan,SDN,2010,0.1719131
Sudan,SDN,2020,0.48797813
Suriname,SUR,2010,51.62851
Suriname,SUR,2020,52.78678
Sweden,SWE,2010,72.75215
Sweden,SWE,2020,60.77131
Switzerland,CHE,2010,73.34831
Switzerland,CHE,2020,61.580498
Syria,SYR,2010,8.589493
Syria,SYR,2020,3.840747
