Entity,Code,Year,Share of the population who are Hindus
Afghanistan,AFG,2010,0.00035474
Afghanistan,AFG,2020,0.000128296
Africa,OWID_AFR,2010,0.12536477
Africa,OWID_AFR,2020,0.10649364
Albania,ALB,2010,0
Albania,ALB,2020,0.000707935
Algeria,DZA,2010,0
Algeria,DZA,2020,0
Angola,AGO,2010,0.013696176
Angola,AGO,2020,0.009273528
Argentina,ARG,2010,0.002481744
Argentina,ARG,2020,0.002573854
Armenia,ARM,2010,0.004751734
Armenia,ARM,2020,0.007485007
Aruba,ABW,2010,0.24914916
Aruba,ABW,2020,0.2814668
Asia,OWID_ASI,2010,24.65098
Asia,OWID_ASI,2020,24.938011
Asia-Pacific (Pew),PEW_APA,2010,25.278584
Asia-Pacific (Pew),PEW_APA,2020,25.67132
Australia,AUS,2010,1.4443375
Australia,AUS,2020,2.963423
Austria,AUT,2010,0.087822534
Austria,AUT,2020,0.11324697
Azerbaijan,AZE,2010,0.008335858
Azerbaijan,AZE,2020,0.006806061
Bahamas,BHS,2010,0.12499024
Bahamas,BHS,2020,0.12642616
Bahrain,BHR,2010,12.881372
Bahrain,BHR,2020,11.205845
Bangladesh,BGD,2010,8.561436
Bangladesh,BGD,2020,7.902371
Barbados,BRB,2010,0.4717413
Barbados,BRB,2020,0.46223992
Belarus,BLR,2010,0.005569584
Belarus,BLR,2020,0.005574159
Belgium,BEL,2010,0.118146814
Belgium,BEL,2020,0.23222195
Belize,BLZ,2010,0.20103468
Belize,BLZ,2020,0.19547845
Benin,BEN,2010,0.009422267
Benin,BEN,2020,0.008297001
Bhutan,BTN,2010,22.553225
Bhutan,BTN,2020,22.50588
Bolivia,BOL,2010,0.003325746
Bolivia,BOL,2020,0.003686277
Bosnia and Herzegovina,BIH,2010,0
Bosnia and Herzegovina,BIH,2020,0
Botswana,BWA,2010,0.14342645
Botswana,BWA,2020,0.13744883
Brazil,BRA,2010,0.002994251
Brazil,BRA,2020,0.000770417
Brunei,BRN,2010,1.3407314
Brunei,BRN,2020,1.3356726
Bulgaria,BGR,2010,0.001411629
Bulgaria,BGR,2020,0.002907086
Burkina Faso,BFA,2010,0.000744563
Burkina Faso,BFA,2020,0.000604015
Burundi,BDI,2010,0.007044393
Burundi,BDI,2020,0.007467602
Cambodia,KHM,2010,0.00090507
Cambodia,KHM,2020,0.000792835
Cameroon,CMR,2010,0.006340458
Cameroon,CMR,2020,0.007430334
Canada,CAN,2010,1.5851321
Canada,CAN,2020,1.5247571
Cape Verde,CPV,2010,0.001534883
Cape Verde,CPV,2020,0.001373061
Central African Republic,CAF,2010,0.001072946
Central African Republic,CAF,2020,0.002433081
Chad,TCD,2010,0.011265496
Chad,TCD,2020,0.009997175
Channel Islands,OWID_CIS,2010,0.080060706
Channel Islands,OWID_CIS,2020,0.08157503
Chile,CHL,2010,0.004410685
Chile,CHL,2020,0.005335507
China,CHN,2010,0.001662713
China,CHN,2020,0.00204179
Colombia,COL,2010,0.00091485
Colombia,COL,2020,0.001024615
Comoros,COM,2010,0.000762167
Comoros,COM,2020,0.00062022
