Entity,Code,Year,Share of the population who are Muslims
Afghanistan,AFG,2010,99.74918
Afghanistan,AFG,2020,99.86197
Africa,OWID_AFR,2010,44.863342
Africa,OWID_AFR,2020,44.79478
Albania,ALB,2010,70.1529
Albania,ALB,2020,74.507225
Algeria,DZA,2010,98.57146
Algeria,DZA,2020,98.38235
Angola,AGO,2010,0.1669055
Angola,AGO,2020,0.255656
Argentina,ARG,2010,1.0000821
Argentina,ARG,2020,0.92919636
Armenia,ARM,2010,0.023529492
Armenia,ARM,2020,0.26675764
Aruba,ABW,2010,0.17938739
Aruba,ABW,2020,0.33776018
Asia,OWID_ASI,2010,27.143242
Asia,OWID_ASI,2020,28.832275
Asia-Pacific (Pew),PEW_APA,2010,24.763258
Asia-Pacific (Pew),PEW_APA,2020,26.132376
Australia,AUS,2010,2.475813
Australia,AUS,2020,3.5031474
Austria,AUT,2010,5.3830957
Austria,AUT,2020,8.302758
Azerbaijan,AZE,2010,97.122185
Azerbaijan,AZE,2020,94.72726
Bahamas,BHS,2010,0.089345306
Bahamas,BHS,2020,0.08583479
Bahrain,BHR,2010,70.21779
Bahrain,BHR,2020,74.02147
Bangladesh,BGD,2010,90.374504
Bangladesh,BGD,2020,91.06732
Barbados,BRB,2010,0.7178504
Barbados,BRB,2020,0.706987
Belarus,BLR,2010,0.25689963
Belarus,BLR,2020,0.26230726
Belgium,BEL,2010,5.112908
Belgium,BEL,2020,6.811328
Belize,BLZ,2010,0.19491985
Belize,BLZ,2020,0.18023044
Benin,BEN,2010,23.464527
Benin,BEN,2020,31.401228
Bhutan,BTN,2010,0.22865137
Bhutan,BTN,2020,0.2221564
Bolivia,BOL,2010,0.008412181
Bolivia,BOL,2020,0.009802146
Bosnia and Herzegovina,BIH,2010,51.27508
Bosnia and Herzegovina,BIH,2020,53.64898
Botswana,BWA,2010,0.7162222
Botswana,BWA,2020,0.3303924
Brazil,BRA,2010,0.018563654
Brazil,BRA,2020,0.017701255
Brunei,BRN,2010,78.79367
Brunei,BRN,2020,82.15076
Bulgaria,BGR,2010,9.98141
Bulgaria,BGR,2020,10.258736
Burkina Faso,BFA,2010,64.34295
Burkina Faso,BFA,2020,67.4097
Burundi,BDI,2010,2.0740278
Burundi,BDI,2020,2.9935937
Cambodia,KHM,2010,1.904455
Cambodia,KHM,2020,2.042904
Cameroon,CMR,2010,21.32802
Cameroon,CMR,2020,25.15727
Canada,CAN,2010,3.2494714
Canada,CAN,2020,4.887863
Cape Verde,CPV,2010,0.2841238
Cape Verde,CPV,2020,0.3126648
Central African Republic,CAF,2010,8.395126
Central African Republic,CAF,2020,6.241038
Chad,TCD,2010,57.278458
Chad,TCD,2020,56.35778
Channel Islands,OWID_CIS,2010,0.07824678
Channel Islands,OWID_CIS,2020,0.07969046
Chile,CHL,2010,0.007351141
Chile,CHL,2020,0.06699373
China,CHN,2010,1.5336534
China,CHN,2020,1.8218015
Colombia,COL,2010,0.00301231
Colombia,COL,2020,0.003926908
Comoros,COM,2010,99.53785
Comoros,COM,2020,98.3
Congo,COG,2010,1.4851103
Congo,COG,2020,1.4647045
Costa Rica,CRI,2010,0.017740272
Costa Rica,CRI,2020,0.025180042
Cote d'Ivoire,CIV,2010,43.722313
Cote d'Ivoire,CIV,2020,46.320717
Croatia,HRV,2010,1.5408552
Croatia,HRV,2020,1.3726027
Cuba,CUB,2010,0.079992004
Cuba,CUB,2020,0.079992004
Curacao,CUW,2010,0.4922588
Curacao,CUW,2020,0.4968051
Cyprus,CYP,2010,26.575148
Cyprus,CYP,2020,24.358803
Czechia,CZE,2010,0.18958887
Czechia,CZE,2020,0.32713088
Democratic Republic of Congo,COD,2010,1.2053837
Democratic Republic of Congo,COD,2020,1.2705512
Denmark,DNK,2010,3.1946962
Denmark,DNK,2020,4.219105
Djibouti,DJI,2010,97.41295
Djibouti,DJI,2020,97.67207
Dominican Republic,DOM,2010,0.019640427
Dominican Republic,DOM,2020,0.024818942
East Timor,TLS,2010,0.19080257
East Timor,TLS,2020,0.2566719
Ecuador,ECU,2010,0.014276579
Ecuador,ECU,2020,0.018136753
Egypt,EGY,2010,94.90719
Egypt,EGY,2020,95.17257
El Salvador,SLV,2010,0.003271163
El Salvador,SLV,2020,0.003496097
Equatorial Guinea,GNQ,2010,4.048072
Equatorial Guinea,GNQ,2020,4.048059
Eritrea,ERI,2010,51.279327
Eritrea,ERI,2020,51.669582
Estonia,EST,2010,0.49873573
Estonia,EST,2020,0.598115
Eswatini,SWZ,2010,0.3363881
Eswatini,SWZ,2020,0.13570014
Ethiopia,ETH,2010,34.793762
Ethiopia,ETH,2020,36.240177
Europe,OWID_EUR,2010,5.2973714
Europe,OWID_EUR,2020,6.049981
Europe (Pew),PEW_EUR,2010,5.2958255
Europe (Pew),PEW_EUR,2020,6.043627
Fiji,FJI,2010,6.2684875
Fiji,FJI,2020,5.7803707
Finland,FIN,2010,0.8185881
Finland,FIN,2020,1.6101944
France,FRA,2010,6.625972
France,FRA,2020,9.097817
French Guiana,GUF,2010,0.8966163
French Guiana,GUF,2020,0.9173636
French Polynesia,PYF,2010,0.3699945
French Polynesia,PYF,2020,0.32458982
Gabon,GAB,2010,5.4487634
Gabon,GAB,2020,8.637679
Gambia,GMB,2010,96.23338
Gambia,GMB,2020,97.00271
Georgia,GEO,2010,10.666319
Georgia,GEO,2020,10.46078
Germany,DEU,2010,5.1418014
Germany,DEU,2020,6.5487413
Ghana,GHA,2010,17.667557
Ghana,GHA,2020,19.870607
Greece,GRC,2010,4.503006
Greece,GRC,2020,5.120217
Grenada,GRD,2010,0.39466482
Grenada,GRD,2020,0.39466482
Guadeloupe,GLP,2010,0.3746238
Guadeloupe,GLP,2020,0.36998156
Guam,GUM,2010,0.030575955
Guam,GUM,2020,0.030216314
Guatemala,GTM,2010,0.002544158
Guatemala,GTM,2020,0.002706949
Guinea,GIN,2010,87.87899
Guinea,GIN,2020,86.80789
Guinea-Bissau,GNB,2010,53.724464
Guinea-Bissau,GNB,2020,55.979042
Guyana,GUY,2010,6.770056
Guyana,GUY,2020,6.5048914
Haiti,HTI,2010,0.001930329
Haiti,HTI,2020,0.001857289
Honduras,HND,2010,0.002366603
Honduras,HND,2020,0.002766317
Hong Kong,HKG,2010,0.10497679
Hong Kong,HKG,2020,0.2680348
Hungary,HUN,2010,0.06170237
Hungary,HUN,2020,0.13922392
Iceland,ISL,2010,0.72328913
Iceland,ISL,2020,1.2126484
India,IND,2010,14.264812
India,IND,2020,15.190016
Indonesia,IDN,2010,87.532166
Indonesia,IDN,2020,86.96418
Iran,IRN,2010,99.73181
Iran,IRN,2020,99.77311
Iraq,IRQ,2010,99.234406
Iraq,IRQ,2020,99.49836
Ireland,IRL,2010,1.090393
Ireland,IRL,2020,1.6911991
Israel,ISR,2010,13.857499
Israel,ISR,2020,14.731497
Italy,ITA,2010,3.415665
Italy,ITA,2020,4.4194283
Jamaica,JAM,2010,0.016460026
Jamaica,JAM,2020,0.015954982
Japan,JPN,2010,0.15871897
Japan,JPN,2020,0.16997391
Jordan,JOR,2010,96.463875
Jordan,JOR,2020,97.08689
Kazakhstan,KAZ,2010,69.66153
Kazakhstan,KAZ,2020,77.904526
Kenya,KEN,2010,11.224777
Kenya,KEN,2020,10.931154
Kiribati,KIR,2010,0.10287
Kiribati,KIR,2020,0.08540649
Kosovo,OWID_KOS,2010,93.75791
Kosovo,OWID_KOS,2020,94.26041
Kuwait,KWT,2010,82.55859
Kuwait,KWT,2020,80.23991
Kyrgyzstan,KGZ,2010,90.552895
Kyrgyzstan,KGZ,2020,91.71747
Laos,LAO,2010,0.06105096
Laos,LAO,2020,0.022150202
Latin America-Caribbean (Pew),PEW_LAC,2010,0.1206103
Latin America-Caribbean (Pew),PEW_LAC,2020,0.1165746
Latvia,LVA,2010,0.7005371
Latvia,LVA,2020,0.6704086
Lebanon,LBN,2010,62.315773
Lebanon,LBN,2020,67.78356
Lesotho,LSO,2010,0.13614228
Lesotho,LSO,2020,0.21846071
Liberia,LBR,2010,12.052026
Liberia,LBR,2020,12.723525
Libya,LBY,2010,96.818596
Libya,LBY,2020,98.99452
Lithuania,LTU,2010,0.09976198
Lithuania,LTU,2020,0.08921702
